sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,84,細懸浮微粒,普通,1.3,0.3,51,51,33,21,5,6,0.2,1.8,79,"2025/02/24 21:00:00",0.3,24,34,1,121.760056,25.129167,1
汐止,新北市,96,細懸浮微粒,普通,0.9,0.34,35,33,37,25,16,17.6,1.5,1,20,"2025/02/24 21:00:00",0.3,29,40,1,121.64081,25.06624,2
萬里,新北市,91,細懸浮微粒,普通,0.7,0.27,57,55,53,20,3,3.7,0.5,6.3,63,"2025/02/24 21:00:00",0.3,27,60,0,121.689881,25.179667,3
新店,新北市,62,細懸浮微粒,普通,0.5,0.34,46,42,23,12,8,9.2,0.5,1.8,107,"2025/02/24 21:00:00",0.3,16,25,0,121.537778,24.977222,4
土城,新北市,70,細懸浮微粒,普通,0.8,0.43,39,37,24,17,12,13.4,0.9,1.8,302,"2025/02/24 21:00:00",0.4,19,29,1,121.451861,24.982528,5
板橋,新北市,78,細懸浮微粒,普通,0.9,0.38,43,37,28,19,13,14.1,1,2.4,86,"2025/02/24 21:00:00",0.4,22,32,1,121.458667,25.012972,6
新莊,新北市,90,細懸浮微粒,普通,0.6,0.36,41,38,37,23,11,11.9,0.6,5,87,"2025/02/24 21:00:00",0.3,26,36,0,121.4325,25.037972,7
菜寮,新北市,90,細懸浮微粒,普通,1.2,0.39,41,39,34,26,14,14.8,0.6,2.8,84,"2025/02/24 21:00:00",0.4,26,37,0,121.481028,25.06895,8
林口,新北市,81,細懸浮微粒,普通,1.4,0.34,41,34,28,20,11,12.6,1.1,4,63,"2025/02/24 21:00:00",0.3,23,34,0,121.36548982,25.07798949,9
淡水,新北市,76,細懸浮微粒,普通,0.5,0.33,47,42,26,21,4,6.4,1.8,,,"2025/02/24 21:00:00",0.4,21,32,0,121.449239,25.1645,10
士林,臺北市,73,細懸浮微粒,普通,0.6,0.3,49,45,28,18,6,7.2,0.5,1.5,170,"2025/02/24 21:00:00",0.3,20,31,0,121.51666356,25.10334003,11
中山,臺北市,93,細懸浮微粒,普通,0.8,0.45,32,26,39,28,22,25,2.4,2.9,71,"2025/02/24 21:00:00",0.5,27,44,0,121.526528,25.062361,12
萬華,臺北市,87,細懸浮微粒,普通,0.1,0.39,36,32,34,24,18,19.1,1.1,2.8,103,"2025/02/24 21:00:00",0.4,25,38,0,121.507972,25.046503,13
古亭,臺北市,92,細懸浮微粒,普通,0.8,0.31,47,42,25,25,9,10.6,1.4,1.9,50,"2025/02/24 21:00:00",0.3,27,35,1,121.529556,25.020608,14
松山,臺北市,92,細懸浮微粒,普通,1.7,0.34,36,27,34,24,16,18,1.6,1.2,22,"2025/02/24 21:00:00",0.3,27,36,1,121.578611,25.05,15
大同,臺北市,108,細懸浮微粒,對敏感族群不健康,1.4,0.69,20,17,49,30,32,47.8,15.5,-,-,"2025/02/24 21:00:00",0.8,33,55,1,121.51342074,25.06331455,16
桃園,桃園市,82,細懸浮微粒,普通,0.6,0.37,46,41,30,24,9,10.7,0.9,4,52,"2025/02/24 21:00:00",0.4,23,35,0,121.30500531,24.9947107,17
大園,桃園市,80,細懸浮微粒,普通,0.9,0.33,39,38,27,18,17,18.9,1.3,4.9,62,"2025/02/24 21:00:00",0.3,23,35,1,121.20251473,25.06100357,18
觀音,桃園市,86,細懸浮微粒,普通,1.1,0.28,44,42,31,21,8,9,0.5,6,75,"2025/02/24 21:00:00",0.3,25,39,0,121.08283092,25.03556747,19
平鎮,桃園市,83,細懸浮微粒,普通,0.4,0.36,46,42,21,21,9,10.2,1.1,4.2,75,"2025/02/24 21:00:00",0.4,24,30,0,121.203986,24.952786,20
龍潭,桃園市,63,細懸浮微粒,普通,0.8,0.3,44,44,24,14,6,8.2,1.3,6.7,52,"2025/02/24 21:00:00",0.3,16,26,1,121.21645772,24.86400048,21
湖口,新竹縣,82,細懸浮微粒,普通,1.8,0.32,46,44,28,22,8,8.4,0.3,8,47,"2025/02/24 21:00:00",0.3,23,33,1,121.03886894,24.90009696,22
竹東,新竹縣,43,,良好,0.7,0.28,45,46,9,4,5,5.7,0.5,2.3,79,"2025/02/24 21:00:00",0.3,9,15,0,121.08895493,24.74091408,23
新竹,新竹市,74,細懸浮微粒,普通,2.2,0.35,45,44,20,22,8,9.4,0.9,3.7,55,"2025/02/24 21:00:00",0.3,20,27,2,120.97236752,24.8056356,24
頭份,苗栗縣,59,細懸浮微粒,普通,0.9,0.34,44,44,18,12,10,11.6,1.4,2.2,52,"2025/02/24 21:00:00",0.3,15,24,1,120.89869286,24.69690679,25
苗栗,苗栗縣,60,細懸浮微粒,普通,1.7,0.35,38,42,18,15,10,11.3,1.1,1.8,12,"2025/02/24 21:00:00",0.3,15,21,1,120.82011468,24.56499183,26
三義,苗栗縣,40,,良好,1,0.34,38,43,15,11,3,4.8,1,3.1,20,"2025/02/24 21:00:00",0.3,10,13,1,120.75956754,24.38248443,27
豐原,臺中市,53,細懸浮微粒,普通,1.3,0.35,33,41,16,14,4,5.1,0.7,2.8,81,"2025/02/24 21:00:00",0.3,13,17,1,120.74252414,24.25699731,28
沙鹿,臺中市,61,細懸浮微粒,普通,1,0.35,39,44,27,15,7,7.8,0.5,3,0,"2025/02/24 21:00:00",0.3,16,28,1,120.568794,24.225628,29
大里,臺中市,52,細懸浮微粒,普通,1,0.47,28,37,18,13,13,14.9,1.1,1.1,2,"2025/02/24 21:00:00",0.4,12,20,1,120.67844444,24.09961111,30
忠明,臺中市,53,細懸浮微粒,普通,1.9,0.42,30,36,19,12,10,12.1,1.3,1.6,9,"2025/02/24 21:00:00",0.3,13,22,1,120.641092,24.151958,31
西屯,臺中市,53,細懸浮微粒,普通,1,0.35,37,42,18,11,9,9.8,0.7,3,1,"2025/02/24 21:00:00",0.3,13,23,1,120.616917,24.162197,32
彰化,彰化縣,56,細懸浮微粒,普通,0,0.44,30,37,26,20,12,13.3,1.1,1.7,36,"2025/02/24 21:00:00",0.4,14,23,0,120.541519,24.066,33
線西,彰化縣,64,細懸浮微粒,普通,1.2,0.34,38,41,30,17,10,11.5,1.1,4.7,31,"2025/02/24 21:00:00",0.4,17,35,1,120.469061,24.131672,34
二林,彰化縣,69,懸浮微粒,普通,1.5,0.4,37,44,32,18,10,11.1,0.5,3.4,25,"2025/02/24 21:00:00",0.4,18,47,1,120.409653,23.925175,35
南投,南投縣,58,細懸浮微粒,普通,1.5,0.41,28,40,26,14,16,17.3,1.2,1.3,330,"2025/02/24 21:00:00",0.3,14,28,1,120.685306,23.913,36
斗六,雲林縣,67,細懸浮微粒,普通,1.4,0.39,32,46,29,23,11,12.9,1.1,1,350,"2025/02/24 21:00:00",0.3,18,34,1,120.544994,23.711853,37
崙背,雲林縣,84,細懸浮微粒,普通,1.1,0.4,34,39,45,24,10,11,0.5,1.3,1,"2025/02/24 21:00:00",0.4,24,60,0,120.348742,23.757547,38
新港,嘉義縣,86,懸浮微粒,普通,1.5,0.34,35,47,45,19,10,11.3,0.9,3.1,358,"2025/02/24 21:00:00",0.3,23,62,1,120.345531,23.554839,39
朴子,嘉義縣,81,細懸浮微粒,普通,1.2,0.34,41,50,36,20,10,12.1,1.1,2.1,359,"2025/02/24 21:00:00",0.3,23,54,1,120.2478,23.46538,40
臺西,雲林縣,76,細懸浮微粒,普通,1.6,0.34,44,48,38,23,6,6.1,0,6.8,21,"2025/02/24 21:00:00",0.3,21,50,0,120.19933333,23.702175,41
嘉義,嘉義市,84,細懸浮微粒,普通,2.4,0.51,27,45,40,25,16,17,0.3,2.4,357,"2025/02/24 21:00:00",0.4,24,51,2,120.44125148,23.46477865,42
新營,臺南市,89,細懸浮微粒,普通,1,0.39,34,49,47,26,13,14.6,1.3,2.8,359,"2025/02/24 21:00:00",0.3,26,63,0,120.31725,23.305633,43
善化,臺南市,91,細懸浮微粒,普通,0.9,0.36,35,52,61,29,11,11.9,0.2,4,339,"2025/02/24 21:00:00",0.3,27,61,0,120.29740529,23.11337642,44
安南,臺南市,88,細懸浮微粒,普通,1.6,0.39,38,51,51,24,8,9.7,0.9,3.4,319,"2025/02/24 21:00:00",0.3,26,58,1,120.2175,23.048197,45
臺南,臺南市,94,細懸浮微粒,普通,0.8,0.38,40,56,47,27,11,12.5,0.8,3.7,356,"2025/02/24 21:00:00",0.3,28,60,0,120.21947897,22.98928311,46
美濃,高雄市,83,細懸浮微粒,普通,1.5,0.4,44,50,76,35,9,9.8,0.4,1.7,277,"2025/02/24 21:00:00",0.3,24,42,1,120.530542,22.883583,47
橋頭,高雄市,102,細懸浮微粒,對敏感族群不健康,1.6,0.48,34,51,79,38,20,21.4,1,2.2,12,"2025/02/24 21:00:00",0.4,30,63,1,120.305689,22.757506,48
仁武,高雄市,96,細懸浮微粒,普通,1.4,0.52,33,52,80,37,22,23,0.4,2.8,337,"2025/02/24 21:00:00",0.4,28,68,1,120.332631,22.689056,49
鳳山,高雄市,99,細懸浮微粒,普通,1.4,0.66,35,51,86,43,22,24.8,1.8,0.6,134,"2025/02/24 21:00:00",0.6,30,68,2,120.357422,22.628126,50
大寮,高雄市,103,細懸浮微粒,對敏感族群不健康,2,0.51,42,53,86,41,17,18.9,1,2.2,340,"2025/02/24 21:00:00",0.4,31,72,2,120.425311,22.56413611,51
林園,高雄市,93,懸浮微粒,普通,2.4,0.41,43,64,82,39,17,18.3,0.5,2.8,310,"2025/02/24 21:00:00",0.3,27,69,2,120.41175,22.4795,52
楠梓,高雄市,106,細懸浮微粒,對敏感族群不健康,1.4,0.45,37,51,85,42,17,18.8,0.9,1.9,28,"2025/02/24 21:00:00",0.4,32,74,1,120.328289,22.733667,53
左營,高雄市,100,懸浮微粒,普通,1.4,0.46,34,54,78,40,21,22.2,1,1.4,350,"2025/02/24 21:00:00",0.3,29,75,1,120.292917,22.674861,54
前金,高雄市,99,懸浮微粒,普通,1,0.42,36,51,79,29,23,27.2,3.3,3.5,351,"2025/02/24 21:00:00",0.3,26,74,1,120.28676111,22.63390278,56
前鎮,高雄市,95,細懸浮微粒,普通,1.3,0.47,41,54,85,37,16,17.2,1,2.1,17,"2025/02/24 21:00:00",0.4,28,67,1,120.30833356,22.6044507,57
小港,高雄市,93,細懸浮微粒,普通,1,0.46,42,54,78,36,18,19.2,0.5,2.8,305,"2025/02/24 21:00:00",0.3,28,66,1,120.337736,22.565833,58
屏東,屏東縣,92,懸浮微粒,普通,1.4,0.44,44,52,82,40,16,16.9,0.3,1.6,312,"2025/02/24 21:00:00",0.4,26,68,0,120.488033,22.673081,59
