縣市,學生數,輟學數,復學數,年度,學制,輟減復
新北市,135123,1084,878,100,國中,206
臺北市,91064,312,248,100,國中,64
臺中市,113409,474,386,100,國中,88
臺南市,70845,260,214,100,國中,46
高雄市,99458,486,424,100,國中,62
宜蘭縣,19285,85,73,100,國中,12
桃園縣,85362,586,465,100,國中,121
新竹縣,20478,139,119,100,國中,20
苗栗縣,20294,120,104,100,國中,16
彰化縣,50313,202,174,100,國中,28
南投縣,20384,101,81,100,國中,20
雲林縣,27206,95,86,100,國中,9
嘉義縣,16144,55,47,100,國中,8
屏東縣,32020,243,185,100,國中,58
臺東縣,8508,112,101,100,國中,11
花蓮縣,13377,168,149,100,國中,19
澎湖縣,2997,7,4,100,國中,3
基隆市,14368,136,112,100,國中,24
新竹市,17245,84,79,100,國中,5
嘉義市,13792,40,27,100,國中,13
金門縣,2050,3,3,100,國中,0
連江縣,247,0,0,100,國中,0
新北市,130630,921,792,101,國中,129
臺北市,87687,239,201,101,國中,38
臺中市,109243,375,301,101,國中,74
臺南市,67726,218,172,101,國中,46
高雄市,96536,396,355,101,國中,41
宜蘭縣,18407,69,59,101,國中,10
桃園縣,82884,443,364,101,國中,79
新竹縣,20079,113,103,101,國中,10
苗栗縣,19563,103,91,101,國中,12
彰化縣,48514,180,159,101,國中,21
南投縣,19723,113,96,101,國中,17
雲林縣,26274,96,78,101,國中,18
嘉義縣,15763,52,41,101,國中,11
屏東縣,30385,189,151,101,國中,38
臺東縣,8223,74,69,101,國中,5
花蓮縣,12714,97,89,101,國中,8
澎湖縣,2908,9,5,101,國中,4
基隆市,13994,98,72,101,國中,26
新竹市,16890,84,76,101,國中,8
嘉義市,13594,38,32,101,國中,6
金門縣,2071,11,11,101,國中,0
連江縣,287,0,0,101,國中,0
新北市,131611,889,775,102,國中,114
臺北市,85120,258,217,102,國中,41
臺中市,108385,353,299,102,國中,54
臺南市,66736,220,197,102,國中,23
高雄市,94492,374,325,102,國中,49
宜蘭縣,18030,96,90,102,國中,6
桃園縣,83861,461,375,102,國中,86
新竹縣,20076,124,115,102,國中,9
苗栗縣,19485,102,94,102,國中,8
彰化縣,48170,151,131,102,國中,20
南投縣,19346,116,99,102,國中,17
雲林縣,26424,99,86,102,國中,13
嘉義縣,15673,40,25,102,國中,15
屏東縣,29392,139,109,102,國中,30
臺東縣,7953,103,96,102,國中,7
花蓮縣,12295,97,82,102,國中,15
澎湖縣,2864,5,4,102,國中,1
基隆市,12981,96,83,102,國中,13
新竹市,17182,70,63,102,國中,7
嘉義市,13281,38,31,102,國中,7
金門縣,2189,3,3,102,國中,0
連江縣,282,0,0,102,國中,0
新北市,125003,878,771,103,國中,107
臺北市,79658,222,185,103,國中,37
桃園市,81815,538,409,103,國中,129
臺中市,104376,364,320,103,國中,44
臺南市,63412,198,175,103,國中,23
高雄市,91035,333,299,103,國中,34
宜蘭縣,17289,65,60,103,國中,5
新竹縣,20051,145,125,103,國中,20
苗栗縣,19233,106,91,103,國中,15
彰化縣,45646,173,156,103,國中,17
南投縣,18691,104,89,103,國中,15
雲林縣,25443,90,74,103,國中,16
嘉義縣,15406,43,32,103,國中,11
屏東縣,28332,137,115,103,國中,22
臺東縣,7762,71,62,103,國中,9
花蓮縣,11755,109,96,103,國中,13
澎湖縣,2837,2,0,103,國中,2
基隆市,12809,101,82,103,國中,19
新竹市,17039,54,53,103,國中,1
嘉義市,12864,29,26,103,國中,3
金門縣,2180,3,3,103,國中,0
連江縣,273,0,0,103,國中,0
新北市,114898,830,724,104,國中,106
臺北市,75172,204,161,104,國中,43
桃園市,76318,507,383,104,國中,124
臺中市,93632,320,281,104,國中,39
臺南市,58621,156,128,104,國中,28
高雄市,83552,321,280,104,國中,41
宜蘭縣,16135,65,60,104,國中,5
新竹縣,19142,108,100,104,國中,8
苗栗縣,18233,103,94,104,國中,9
彰化縣,43856,124,114,104,國中,10
南投縣,17195,95,84,104,國中,11
雲林縣,24286,98,79,104,國中,19
嘉義縣,14433,41,36,104,國中,5
屏東縣,25756,150,120,104,國中,30
臺東縣,7212,72,59,104,國中,13
花蓮縣,10895,116,109,104,國中,7
澎湖縣,2670,8,5,104,國中,3
基隆市,11499,98,83,104,國中,15
新竹市,16494,58,56,104,國中,2
嘉義市,11965,24,21,104,國中,3
金門縣,2145,2,1,104,國中,1
連江縣,259,0,0,104,國中,0
新北市,106054,684,579,105,國中,105
臺北市,68271,182,148,105,國中,34
桃園市,70552,367,287,105,國中,80
臺中市,80613,289,242,105,國中,47
臺南市,52759,126,111,105,國中,15
高雄市,77133,325,285,105,國中,40
宜蘭縣,14867,56,46,105,國中,10
新竹縣,17780,109,82,105,國中,27
苗栗縣,16869,92,88,105,國中,4
彰化縣,40250,120,108,105,國中,12
南投縣,15679,82,75,105,國中,7
雲林縣,22268,90,77,105,國中,13
嘉義縣,13146,47,40,105,國中,7
屏東縣,23994,126,97,105,國中,29
臺東縣,6677,51,38,105,國中,13
花蓮縣,10172,102,86,105,國中,16
澎湖縣,2451,12,10,105,國中,2
基隆市,10271,96,82,105,國中,14
新竹市,16070,57,52,105,國中,5
嘉義市,10946,19,15,105,國中,4
金門縣,1991,5,3,105,國中,2
連江縣,249,0,0,105,國中,0
新北市,100692,692,605,106,國中,87
臺北市,67943,168,134,106,國中,34
