縣市,學生數,輟學數,復學數,年度,學制,輟減復
新北市,238173,151,127,100,國小,24
臺北市,139576,33,26,100,國小,7
臺中市,185845,44,33,100,國小,11
臺南市,109824,22,20,100,國小,2
高雄市,164037,76,71,100,國小,5
宜蘭縣,28231,5,4,100,國小,1
桃園縣,149654,83,70,100,國小,13
新竹縣,38917,16,15,100,國小,1
苗栗縣,36080,10,10,100,國小,0
彰化縣,86290,22,17,100,國小,5
南投縣,32834,12,12,100,國小,0
雲林縣,44528,10,10,100,國小,0
嘉義縣,30860,8,7,100,國小,1
屏東縣,51970,18,15,100,國小,3
臺東縣,14118,14,14,100,國小,0
花蓮縣,20443,30,30,100,國小,0
澎湖縣,5168,1,1,100,國小,0
基隆市,22223,19,15,100,國小,4
新竹市,30431,8,8,100,國小,0
嘉義市,20156,3,3,100,國小,0
金門縣,3974,2,2,100,國小,0
連江縣,490,0,0,100,國小,0
新北市,224516,117,101,101,國小,16
臺北市,129523,29,23,101,國小,6
臺中市,176312,34,32,101,國小,2
臺南市,103184,21,18,101,國小,3
高雄市,153507,53,44,101,國小,9
宜蘭縣,26328,9,7,101,國小,2
桃園縣,140699,77,63,101,國小,14
新竹縣,37602,15,14,101,國小,1
苗栗縣,34259,5,5,101,國小,0
彰化縣,80969,17,14,101,國小,3
南投縣,30726,13,13,101,國小,0
雲林縣,41859,17,15,101,國小,2
嘉義縣,28696,6,5,101,國小,1
屏東縣,48181,20,15,101,國小,5
臺東縣,13232,13,12,101,國小,1
花蓮縣,19222,19,18,101,國小,1
澎湖縣,4830,3,3,101,國小,0
基隆市,20190,11,9,101,國小,2
新竹市,29581,3,1,101,國小,2
嘉義市,18759,6,6,101,國小,0
金門縣,3875,0,0,101,國小,0
連江縣,470,0,0,101,國小,0
新北市,212302,114,97,102,國小,17
臺北市,123905,30,26,102,國小,4
臺中市,165870,32,29,102,國小,3
臺南市,97459,20,20,102,國小,0
高雄市,144122,58,47,102,國小,11
宜蘭縣,24976,7,4,102,國小,3
桃園縣,134735,61,55,102,國小,6
新竹縣,36390,15,14,102,國小,1
苗栗縣,32587,7,7,102,國小,0
彰化縣,75781,17,14,102,國小,3
南投縣,28702,11,11,102,國小,0
雲林縣,39547,14,10,102,國小,4
嘉義縣,26188,10,7,102,國小,3
屏東縣,44738,18,16,102,國小,2
臺東縣,12478,16,14,102,國小,2
花蓮縣,17859,20,19,102,國小,1
澎湖縣,4444,1,1,102,國小,0
基隆市,18757,15,14,102,國小,1
新竹市,28620,9,9,102,國小,0
嘉義市,17462,5,5,102,國小,0
金門縣,3732,2,2,102,國小,0
連江縣,483,0,0,102,國小,0
新北市,205652,93,86,103,國小,7
臺北市,121087,23,18,103,國小,5
桃園市,130952,82,71,103,國小,11
臺中市,160784,31,29,103,國小,2
臺南市,94489,17,17,103,國小,0
高雄市,138982,40,38,103,國小,2
宜蘭縣,23980,4,4,103,國小,0
新竹縣,34878,19,19,103,國小,0
苗栗縣,31042,7,6,103,國小,1
彰化縣,72196,15,12,103,國小,3
南投縣,26908,15,15,103,國小,0
雲林縣,37671,20,18,103,國小,2
嘉義縣,24204,5,5,103,國小,0
屏東縣,42210,22,22,103,國小,0
臺東縣,11632,21,21,103,國小,0
花蓮縣,17157,11,10,103,國小,1
澎湖縣,4228,1,1,103,國小,0
基隆市,17809,12,12,103,國小,0
新竹市,28732,8,8,103,國小,0
嘉義市,16919,3,3,103,國小,0
金門縣,3701,0,0,103,國小,0
連江縣,467,0,0,103,國小,0
新北市,201027,79,72,104,國小,7
臺北市,118317,26,22,104,國小,4
桃園市,127386,71,60,104,國小,11
臺中市,156241,36,33,104,國小,3
臺南市,92504,15,15,104,國小,0
高雄市,133484,56,53,104,國小,3
宜蘭縣,22979,11,11,104,國小,0
新竹縣,36032,20,19,104,國小,1
苗栗縣,29929,10,8,104,國小,2
彰化縣,68976,9,8,104,國小,1
南投縣,25327,7,7,104,國小,0
雲林縣,35812,15,13,104,國小,2
嘉義縣,22409,12,11,104,國小,1
屏東縣,39538,10,8,104,國小,2
臺東縣,11036,17,16,104,國小,1
花蓮縣,16428,13,13,104,國小,0
澎湖縣,3992,2,1,104,國小,1
基隆市,17334,12,12,104,國小,0
新竹市,28488,6,6,104,國小,0
嘉義市,16112,6,6,104,國小,0
金門縣,3674,1,1,104,國小,0
連江縣,444,0,0,104,國小,0
新北市,193663,89,81,105,國小,8
臺北市,115101,26,24,105,國小,2
桃園市,123654,65,55,105,國小,10
臺中市,146214,23,20,105,國小,3
臺南市,89187,18,16,105,國小,2
高雄市,128970,40,38,105,國小,2
宜蘭縣,22344,11,11,105,國小,0
新竹縣,35404,18,16,105,國小,2
苗栗縣,28502,11,11,105,國小,0
彰化縣,65406,15,15,105,國小,0
南投縣,24158,9,9,105,國小,0
雲林縣,33976,18,14,105,國小,4
嘉義縣,20885,6,5,105,國小,1
屏東縣,37381,10,10,105,國小,0
臺東縣,10717,8,7,105,國小,1
花蓮縣,15838,18,16,105,國小,2
澎湖縣,3655,0,0,105,國小,0
基隆市,16627,9,9,105,國小,0
新竹市,29376,14,14,105,國小,0
嘉義市,15470,1,0,105,國小,1
金門縣,3583,0,0,105,國小,0
連江縣,454,0,0,105,國小,0
新北市,191290,78,65,106,國小,13
臺北市,114813,33,31,106,國小,2
桃園市,121687,52,49,106,國小,3
臺中市,140993,28,24,106,國小,4
臺南市,86695,22,20,106,國小,2
高雄市,124973,33,32,106,國小,1
宜蘭縣,21457,9,5,106,國小,4
新竹縣,35315,14,11,106,國小,3
苗栗縣,27549,10,9,106,國小,1
彰化縣,62827,11,11,106,國小,0
南投縣,23194,5,5,106,國小,0
雲林縣,32404,12,12,106,國小,0
嘉義縣,19563,7,7,106,國小,0
屏東縣,35506,12,12,106,國小,0
臺東縣,10394,10,10,106,國小,0
花蓮縣,15359,13,12,106,國小,1
澎湖縣,3578,4,3,106,國小,1
基隆市,15944,13,12,106,國小,1
新竹市,29440,8,8,106,國小,0
嘉義市,15074,4,4,106,國小,0
金門縣,3621,1,1,106,國小,0
連江縣,474,0,0,106,國小,0
新北市,194705,74,65,107 ,國小,9
臺北市,117239,17,14,107 ,國小,3
桃園市,123406,68,64,107 ,國小,4
臺中市,151437,29,25,107 ,國小,4
臺南市,88594,19,16,107 ,國小,3
高雄市,124900,38,38,107 ,國小,0
宜蘭縣,21506,7,7,107 ,國小,0
新竹縣,36264,8,8,107 ,國小,0
苗栗縣,27752,13,12,107 ,國小,1
彰化縣,62331,10,10,107 ,國小,0
南投縣,22815,7,7,107 ,國小,0
雲林縣,31140,14,14,107 ,國小,0
嘉義縣,18742,7,6,107 ,國小,1
屏東縣,35153,4,4,107 ,國小,0
臺東縣,10190,15,13,107 ,國小,2
花蓮縣,15166,13,11,107 ,國小,2
澎湖縣,3497,0,0,107 ,國小,0
基隆市,15881,3,3,107 ,國小,0
新竹市,30859,8,7,107 ,國小,1
嘉義市,15098,1,1,107 ,國小,0
金門縣,3680,0,0,107 ,國小,0
連江縣,478,0,0,107 ,國小,0
新北市,198487,58,50,108,國小,8
臺北市,120368,26,22,108,國小,4
桃園市,125574,57,51,108,國小,6
臺中市,153368,27,22,108,國小,5
臺南市,89205,24,24,108,國小,0
高雄市,126501,40,32,108,國小,8
宜蘭縣,21680,8,7,108,國小,1
新竹縣,37069,10,10,108,國小,0
苗栗縣,27471,5,5,108,國小,0
彰化縣,61980,14,13,108,國小,1
南投縣,22678,7,7,108,國小,0
雲林縣,31028,10,9,108,國小,1
嘉義縣,18346,2,1,108,國小,1
屏東縣,34729,16,13,108,國小,3
臺東縣,9893,14,12,108,國小,2
花蓮縣,15269,9,9,108,國小,0
澎湖縣,3452,1,1,108,國小,0
基隆市,15856,5,5,108,國小,0
新竹市,31651,9,6,108,國小,3
嘉義市,15076,2,2,108,國小,0
金門縣,3830,1,1,108,國小,0
連江縣,470,0,0,108,國小,0
新北市,199844,49,47,109,國小,2
臺北市,123016,13,12,109,國小,1
桃園市,129380,59,52,109,國小,7
臺中市,152620,23,21,109,國小,2
臺南市,90465,16,15,109,國小,1
高雄市,126778,36,34,109,國小,2
宜蘭縣,21703,14,13,109,國小,1
新竹縣,38665,9,9,109,國小,0
苗栗縣,27634,6,6,109,國小,0
彰化縣,62646,11,9,109,國小,2
南投縣,22249,5,5,109,國小,0
雲林縣,30547,4,4,109,國小,0
嘉義縣,17745,9,6,109,國小,3
屏東縣,34031,10,9,109,國小,1
臺東縣,9867,5,5,109,國小,0
花蓮縣,15138,12,11,109,國小,1
澎湖縣,3013,1,1,109,國小,0
基隆市,15937,5,5,109,國小,0
新竹市,32127,7,7,109,國小,0
嘉義市,14894,2,1,109,國小,1
金門縣,3805,0,0,109,國小,0
連江縣,492,0,0,109,國小,0
新北市,200058,41,38,110,國小,3
臺北市,128336,14,9,110,國小,5
桃園市,131477,48,45,110,國小,3
臺中市,161719,16,16,110,國小,0
臺南市,91954,17,16,110,國小,1
高雄市,129062,34,25,110,國小,9
宜蘭縣,22188,7,6,110,國小,1
新竹縣,39514,9,9,110,國小,0
苗栗縣,28301,11,11,110,國小,0
彰化縣,62121,7,6,110,國小,1
南投縣,22407,3,3,110,國小,0
雲林縣,30332,8,8,110,國小,0
嘉義縣,17659,5,5,110,國小,0
屏東縣,34617,13,12,110,國小,1
臺東縣,9746,14,14,110,國小,0
花蓮縣,14928,10,10,110,國小,0
澎湖縣,3486,0,0,110,國小,0
基隆市,15787,5,5,110,國小,0
新竹市,32937,14,14,110,國小,0
嘉義市,14928,2,1,110,國小,1
金門縣,3875,0,0,110,國小,0
連江縣,490,0,0,110,國小,0
